Date,Open,High,Low,Close,Adj Close,Volume
2010-04-22,5248.600098,5331.799805,5221.100098,5269.350098,5269.350098,0
2010-04-23,5269.649902,5311.049805,5269.649902,5304.100098,5304.100098,0
2010-04-26,5299.350098,5342.350098,5299.350098,5322.450195,5322.450195,0
2010-04-27,5322.100098,5330.549805,5301.399902,5308.350098,5308.350098,0
2010-04-28,5308.200195,5308.250000,5202.450195,5215.450195,5215.450195,0
2010-04-29,5215.250000,5264.750000,5214.799805,5254.149902,5254.149902,0
2010-04-30,5254.200195,5294.799805,5254.200195,5278.000000,5278.000000,0
2010-05-03,5278.399902,5278.700195,5210.049805,5222.750000,5222.750000,0
2010-05-04,5223.899902,5250.149902,5134.850098,5148.500000,5148.500000,0
2010-05-05,5148.350098,5148.350098,5056.500000,5124.899902,5124.899902,0
2010-05-06,5124.399902,5124.899902,5037.750000,5090.850098,5090.850098,0
2010-05-07,5072.299805,5085.649902,4984.600098,5018.049805,5018.049805,0
2010-05-10,5026.600098,5203.299805,5026.600098,5193.600098,5193.600098,0
2010-05-11,5189.750000,5206.700195,5126.500000,5136.149902,5136.149902,0
2010-05-12,5133.750000,5172.850098,5098.799805,5156.649902,5156.649902,0
2010-05-13,5157.549805,5212.700195,5147.950195,5178.899902,5178.899902,0
2010-05-14,5180.549805,5192.750000,5070.950195,5093.500000,5093.500000,0
2010-05-17,5093.899902,5094.549805,4966.250000,5059.899902,5059.899902,0
2010-05-18,5059.549805,5105.200195,5024.250000,5066.200195,5066.200195,0
2010-05-19,5065.100098,5065.100098,4908.149902,4919.649902,4919.649902,0
2010-05-20,4924.299805,4980.250000,4924.299805,4947.600098,4947.600098,0
2010-05-21,4946.700195,4946.700195,4842.299805,4931.149902,4931.149902,0
2010-05-24,4944.299805,5029.549805,4923.450195,4943.950195,4943.950195,0
2010-05-25,4945.299805,4946.600098,4786.450195,4806.750000,4806.750000,0
2010-05-26,4807.299805,4925.450195,4807.299805,4917.399902,4917.399902,0
2010-05-27,4915.149902,5016.600098,4897.600098,5003.100098,5003.100098,0
2010-05-28,5005.600098,5077.250000,5005.600098,5066.549805,5066.549805,0
2010-05-31,5076.100098,5097.600098,5038.549805,5086.299805,5086.299805,0
2010-06-01,5086.250000,5086.950195,4961.049805,4970.200195,4970.200195,0
2010-06-02,4970.750000,5031.200195,4967.049805,5019.850098,5019.850098,0
2010-06-03,5020.149902,5125.700195,5020.149902,5110.500000,5110.500000,0
2010-06-04,5112.600098,5147.899902,5091.600098,5135.500000,5135.500000,0
2010-06-07,5132.950195,5132.950195,5004.250000,5034.000000,5034.000000,0
2010-06-08,5036.700195,5071.350098,4967.299805,4987.100098,4987.100098,0
2010-06-09,4985.049805,5050.600098,4980.100098,5000.299805,5000.299805,0
2010-06-10,4999.600098,5085.200195,4997.600098,5078.600098,5078.600098,0
2010-06-11,5078.750000,5139.049805,5078.750000,5119.350098,5119.350098,0
2010-06-14,5120.149902,5201.250000,5120.149902,5197.700195,5197.700195,0
2010-06-15,5201.299805,5231.450195,5171.049805,5222.350098,5222.350098,0
2010-06-16,5225.049805,5255.649902,5214.899902,5233.350098,5233.350098,0
2010-06-17,5233.649902,5285.549805,5206.549805,5274.850098,5274.850098,0
2010-06-18,5274.950195,5302.299805,5245.500000,5262.600098,5262.600098,0
2010-06-21,5266.500000,5366.750000,5266.500000,5353.299805,5353.299805,0
2010-06-22,5353.950195,5354.350098,5311.049805,5316.549805,5316.549805,0
2010-06-23,5316.149902,5333.299805,5288.149902,5323.149902,5323.149902,0
2010-06-24,5323.250000,5348.299805,5284.549805,5320.600098,5320.600098,0
2010-06-25,5320.500000,5320.500000,5259.899902,5269.049805,5269.049805,0
2010-06-28,5271.100098,5339.450195,5270.750000,5333.500000,5333.500000,0
2010-06-29,5333.549805,5334.149902,5235.799805,5256.149902,5256.149902,0
2010-06-30,5254.250000,5320.350098,5210.000000,5312.500000,5312.500000,0
2010-07-01,5312.049805,5312.549805,5232.100098,5251.399902,5251.399902,0
2010-07-02,5251.250000,5277.250000,5225.600098,5237.100098,5237.100098,0
2010-07-05,5237.000000,5252.750000,5225.850098,5235.899902,5235.899902,0
2010-07-06,5236.100098,5297.450195,5231.500000,5289.049805,5289.049805,0
2010-07-07,5293.100098,5296.750000,5233.450195,5241.100098,5241.100098,0
2010-07-08,5242.000000,5320.500000,5242.000000,5296.850098,5296.850098,0
2010-07-09,5297.200195,5359.049805,5297.200195,5352.450195,5352.450195,0
2010-07-12,5352.250000,5402.700195,5351.600098,5383.000000,5383.000000,0
2010-07-13,5370.200195,5406.200195,5357.850098,5400.649902,5400.649902,0
2010-07-14,5402.000000,5453.450195,5371.700195,5386.149902,5386.149902,0
2010-07-15,5387.100098,5399.200195,5360.600098,5378.750000,5378.750000,0
2010-07-16,5376.649902,5401.350098,5374.399902,5393.899902,5393.899902,0
2010-07-19,5392.700195,5409.100098,5361.500000,5386.450195,5386.450195,0
2010-07-20,5387.000000,5416.450195,5353.600098,5368.000000,5368.000000,0
2010-07-21,5368.850098,5409.100098,5368.850098,5399.350098,5399.350098,0
2010-07-22,5399.149902,5447.149902,5372.200195,5441.950195,5441.950195,0
2010-07-23,5441.899902,5477.500000,5435.149902,5449.100098,5449.100098,0
2010-07-26,5446.549805,5466.250000,5409.200195,5418.600098,5418.600098,0
2010-07-27,5420.200195,5450.950195,5407.200195,5430.600098,5430.600098,0
2010-07-28,5436.100098,5447.850098,5386.250000,5397.549805,5397.549805,0
2010-07-29,5397.850098,5415.850098,5381.549805,5408.899902,5408.899902,0
2010-07-30,5408.399902,5413.250000,5349.200195,5367.600098,5367.600098,0
2010-08-02,5369.549805,5438.850098,5351.299805,5431.649902,5431.649902,0
2010-08-03,5432.500000,5459.200195,5426.399902,5439.549805,5439.549805,0
2010-08-04,5441.350098,5481.899902,5428.399902,5467.850098,5467.850098,0
2010-08-05,5470.149902,5487.149902,5443.100098,5447.100098,5447.100098,0
2010-08-06,5448.250000,5471.899902,5431.350098,5439.250000,5439.250000,0
2010-08-09,5439.799805,5492.299805,5433.250000,5486.149902,5486.149902,0
2010-08-10,5486.799805,5491.450195,5445.350098,5460.700195,5460.700195,0
2010-08-11,5460.700195,5474.600098,5412.000000,5420.600098,5420.600098,0
2010-08-12,5418.700195,5431.100098,5372.450195,5416.450195,5416.450195,0
2010-08-13,5420.649902,5476.500000,5415.500000,5452.100098,5452.100098,0
2010-08-16,5452.100098,5465.250000,5397.399902,5418.299805,5418.299805,0
2010-08-17,5422.149902,5443.549805,5408.799805,5414.149902,5414.149902,0
2010-08-18,5416.250000,5487.950195,5416.250000,5479.149902,5479.149902,0
2010-08-19,5478.250000,5544.700195,5478.100098,5540.200195,5540.200195,0
2010-08-20,5540.799805,5546.600098,5513.350098,5530.649902,5530.649902,0
2010-08-23,5531.149902,5549.799805,5519.399902,5543.500000,5543.500000,0
2010-08-24,5541.100098,5547.250000,5488.450195,5505.100098,5505.100098,0
2010-08-25,5505.299805,5506.149902,5452.549805,5462.350098,5462.350098,0
2010-08-26,5462.100098,5486.549805,5454.700195,5477.899902,5477.899902,0
2010-08-27,5489.600098,5495.200195,5391.950195,5408.700195,5408.700195,0
2010-08-30,5408.899902,5469.000000,5390.350098,5415.450195,5415.450195,0
2010-08-31,5413.549805,5413.899902,5348.899902,5402.399902,5402.399902,0
2010-09-01,5403.049805,5478.600098,5403.049805,5471.850098,5471.850098,0
2010-09-02,5471.899902,5513.950195,5471.850098,5486.149902,5486.149902,0
2010-09-03,5486.299805,5510.399902,5473.649902,5479.399902,5479.399902,0
2010-09-06,5479.549805,5589.399902,5479.549805,5576.950195,5576.950195,0
2010-09-07,5575.899902,5625.500000,5571.649902,5604.000000,5604.000000,0
2010-09-08,5604.250000,5625.299805,5567.750000,5607.850098,5607.850098,0
2010-09-09,5608.299805,5647.450195,5608.100098,5640.049805,5640.049805,0
2010-09-13,5639.200195,5770.600098,5639.200195,5760.000000,5760.000000,0
2010-09-14,5760.299805,5838.450195,5760.299805,5795.549805,5795.549805,0
2010-09-15,5795.250000,5869.450195,5792.200195,5860.950195,5860.950195,0
2010-09-16,5861.100098,5901.649902,5815.799805,5828.700195,5828.700195,0
2010-09-17,5828.700195,5898.399902,5828.700195,5884.950195,5884.950195,0
2010-09-20,5885.049805,5989.500000,5885.049805,5980.450195,5980.450195,0
2010-09-21,5980.500000,6032.799805,5961.850098,6009.049805,6009.049805,0
2010-09-22,6008.399902,6037.399902,5946.450195,5991.000000,5991.000000,0
2010-09-23,5991.049805,6006.799805,5932.399902,5959.549805,5959.549805,0
2010-09-24,5959.450195,6029.100098,5951.200195,6018.299805,6018.299805,0
2010-09-27,6018.299805,6073.500000,6018.299805,6035.649902,6035.649902,0
2010-09-28,6036.049805,6049.799805,5991.299805,6029.500000,6029.500000,0
2010-09-29,6029.149902,6071.549805,5979.649902,5991.299805,5991.299805,0
2010-09-30,5991.350098,6048.450195,5963.600098,6029.950195,6029.950195,0
2010-10-01,6030.299805,6153.100098,6030.299805,6143.399902,6143.399902,0
2010-10-04,6144.700195,6222.100098,6144.700195,6159.450195,6159.450195,0
2010-10-05,6159.450195,6188.350098,6118.049805,6145.799805,6145.799805,0
2010-10-06,6150.950195,6223.399902,6148.600098,6186.450195,6186.450195,0
2010-10-07,6186.850098,6199.450195,6107.500000,6120.299805,6120.299805,0
2010-10-08,6121.399902,6148.600098,6067.000000,6103.450195,6103.450195,0
2010-10-11,6105.950195,6187.750000,6105.950195,6135.850098,6135.850098,0
2010-10-12,6135.950195,6144.950195,6057.950195,6090.899902,6090.899902,0
2010-10-13,6091.450195,6240.250000,6089.750000,6233.899902,6233.899902,0
2010-10-14,6234.299805,6284.100098,6157.899902,6177.350098,6177.350098,0
2010-10-15,6175.899902,6200.600098,6050.350098,6062.649902,6062.649902,0
2010-10-18,6112.750000,6115.100098,5985.100098,6075.950195,6075.950195,0
2010-10-19,6114.450195,6127.049805,6008.149902,6027.299805,6027.299805,0
2010-10-20,6002.950195,6038.100098,5966.750000,5982.100098,5982.100098,0
2010-10-21,6008.899902,6113.500000,5984.899902,6101.500000,6101.500000,0
2010-10-22,6113.399902,6121.100098,6041.350098,6066.049805,6066.049805,0
2010-10-25,6101.250000,6151.299805,6094.600098,6105.799805,6105.799805,0
2010-10-26,6116.299805,6120.250000,6074.649902,6082.000000,6082.000000,0
2010-10-27,6075.450195,6075.950195,5987.549805,6012.649902,6012.649902,0
2010-10-28,6039.950195,6071.100098,5968.100098,5987.700195,5987.700195,0
2010-10-29,6021.149902,6032.649902,5937.100098,6017.700195,6017.700195,0
2010-11-01,6092.299805,6132.399902,6084.750000,6117.549805,6117.549805,0
2010-11-02,6127.549805,6138.100098,6094.399902,6119.000000,6119.000000,0
2010-11-03,6150.600098,6182.500000,6146.799805,6160.500000,6160.500000,0
2010-11-04,6209.600098,6290.149902,6199.350098,6281.799805,6281.799805,0
2010-11-08,6335.250000,6335.899902,6265.350098,6273.200195,6273.200195,0
2010-11-09,6281.000000,6310.899902,6243.549805,6301.549805,6301.549805,0
2010-11-10,6303.200195,6307.649902,6269.250000,6275.700195,6275.700195,0
2010-11-11,6286.350098,6296.549805,6179.500000,6194.250000,6194.250000,0
2010-11-12,6182.299805,6202.500000,6056.750000,6071.649902,6071.649902,0
2010-11-15,6079.899902,6128.750000,6039.399902,6121.600098,6121.600098,0
2010-11-16,6143.450195,6144.049805,5970.600098,5988.700195,5988.700195,0
2010-11-18,6075.950195,6076.200195,5906.750000,5998.799805,5998.799805,0
2010-11-19,6011.299805,6013.250000,5863.950195,5890.299805,5890.299805,0
2010-11-22,5920.899902,6020.250000,5905.149902,6010.000000,6010.000000,0
2010-11-23,5971.549805,5973.350098,5824.950195,5934.750000,5934.750000,0
2010-11-24,5946.799805,5976.649902,5833.600098,5865.750000,5865.750000,0
2010-11-25,5883.950195,5907.100098,5780.350098,5799.750000,5799.750000,0
2010-11-26,5828.549805,5838.500000,5690.350098,5751.950195,5751.950195,0
2010-11-29,5789.950195,5843.149902,5754.700195,5830.000000,5830.000000,0
2010-11-30,5811.600098,5892.250000,5768.350098,5862.700195,5862.700195,0
2010-12-01,5871.000000,5971.000000,5865.549805,5960.899902,5960.899902,0
2010-12-02,6023.049805,6029.500000,5980.600098,6011.700195,6011.700195,0
2010-12-03,6013.350098,6025.399902,5964.250000,5992.799805,5992.799805,0
2010-12-06,6033.649902,6069.450195,5981.700195,5992.250000,5992.250000,0
2010-12-07,5995.049805,6001.000000,5939.700195,5976.549805,5976.549805,0
2010-12-08,5954.399902,5960.000000,5878.600098,5903.700195,5903.700195,0
2010-12-09,5924.250000,5927.299805,5742.299805,5766.500000,5766.500000,0
2010-12-10,5761.000000,5865.500000,5721.149902,5857.350098,5857.350098,0
2010-12-13,5882.649902,5913.799805,5795.899902,5907.649902,5907.649902,0
2010-12-14,5928.700195,5953.950195,5888.750000,5944.100098,5944.100098,0
2010-12-15,5931.149902,5942.750000,5865.799805,5892.299805,5892.299805,0
2010-12-16,5910.549805,5956.149902,5855.049805,5948.750000,5948.750000,0
2010-12-20,5926.850098,5985.000000,5900.250000,5947.049805,5947.049805,0
2010-12-21,5960.399902,6007.450195,5960.049805,6000.649902,6000.649902,0
2010-12-22,6019.000000,6023.799805,5958.000000,5984.399902,5984.399902,0
2010-12-23,6005.899902,6006.450195,5964.600098,5980.000000,5980.000000,0
2010-12-24,5940.250000,6017.350098,5940.250000,6011.600098,6011.600098,0
2010-12-27,6013.299805,6045.750000,5991.100098,5998.100098,5998.100098,0
2010-12-28,6005.350098,6010.899902,5982.250000,5996.000000,5996.000000,0
2010-12-29,6005.149902,6067.549805,6002.850098,6060.350098,6060.350098,0
2010-12-30,6062.350098,6106.399902,6062.350098,6101.850098,6101.850098,0
2010-12-31,6105.100098,6147.299805,6103.549805,6134.500000,6134.500000,0
